,Name,RA,Dec,Start Time,Stop Time,Flux,Index,Cutoff,Links,Notes
0,V407 Cyg,315.5409,45.77576,55265.0,55287.0,3.47,1.27,2.0,Anna,Location from SIMBAD
1,V1324 Sco,267.7246252,-32.622524600000006,56093.0,56110.0,4.4,1.92,7.7,Anna,
2,V959 Mon,99.91141999999999,5.89778,56097.0,56119.0,2.64,1.5,1.3,Anna,
3,V339 Del,305.8778603,20.7677159,56520.0,56547.0,1.45,1.68,3.0,Anna,
4,V1369 Cen,208.6890121,-59.15115834,56631.0,56670.0,2.51,2.0,2.0,Anna,
5,V5668 Sgr,279.2375,-28.92833,57102.0,57157.0,0.61,2.11,inf,Anna,
6,V679 Car,168.4742,-61.23,54801.99999,54836.99997999999,1.9,1.3,2.6,Anna (candidate),
7,V1535 Sco,255.8590443,-35.071616,57063.999970000004,57070.999970000004,1.0,2.3,inf,Anna (candidate),
8,V5856 Sgr,275.21771,-28.37003,57700.0,57709.0,5.4,1.86,5.9,Nova outburst powered by shocks https://arxiv.org/pdf/1709.00763.pdf,ASASSN-16ma
9,V906 Car,159.0642757,-59.59825849999999,58216.0,58239.0,12.2,1.76,5.9,Direct evidence for shock-powered optical https://arxiv.org/pdf/2004.05562.pdf,Fermi-LAT was offline during the first 23 days of the nova eruption
10,V745 Sco,268.8426139,-33.2495996,56694.0,56695.0,3.0,2.2,inf,http://www.astronomerstelegram.org/?read=5879,Index assumed
11,V407 Lup,232.25758,-44.828,57657.0,57661.0,1.8,2.2,inf,http://www.astronomerstelegram.org/?read=9594,Index assumed
12,V5855 Sgr,272.61787999999996,-27.4997,57689.0,57697.0,2.96,2.26,inf,Nelson et al. NuSTAR https://arxiv.org/abs/1901.00030,
13,V549 Vel,132.62342900000002,-47.757867,58050.0,58070.0,0.8,1.9,inf,http://www.astronomerstelegram.org/?read=10977,
14,V357 Mus,171.55083,-65.51899999999999,58129.0,58136.0,2.4,2.2,inf,http://www.astronomerstelegram.org/?read=11201,Index assumed
15,V392 Per,70.83903964,47.357185799999996,58238.0,58239.0,8.9,1.9,inf,http://www.astronomerstelegram.org/?read=11590,
16,V3890 Sgr,277.6803671,-24.01915238,58718.0,58739.0,1.2,2.2,inf,http://www.astronomerstelegram.org/?read=13114,Index assumed
17,V1707 Sco,264.2899,-35.1725,58740.0,58744.0,2.3,2.0,inf,http://www.astronomerstelegram.org/?read=13116,
18,MGAB-V207,59.623167,-54.778110999999996,59040.0,59045.0,5.0,2.1,inf,http://www.astronomerstelegram.org/?read=13868,"Flux at 2e-7 on 7/10, non-detection on 7/11, then 5-7e-7 on 7/12 through 7/15"
