Name,OpticalPeak,Ref
V1658 Sco,2015-04-03,https://arxiv.org/abs/1606.02755
V555 Nor,2016-04-02.38,Atel10740
V3661 Oph,2016-03-13,SMARTS
V1655 Sco,2016-06-12,AAVSO
V5853 Sgr,2016-08-12,SMARTS
V1656 Sco,2016-09-11,SMARTS
V1659 Sco,2016-09-07.00,ASASSN-transients
V611 Sct,2016-09-07.3,ASASSN-transients
V407 Lup,2016-09-26,SMARTS
V5855 Sgr,2016-10-24,https://arxiv.org/pdf/1901.00030.pdf
V5856 Sgr,2016-11-08,https://arxiv.org/pdf/1709.00763.pdf
V1405 Cen,2017-05-17.28,Atel10387
V3662 Oph,2017-04-30,Atel10367
V612 Sct,2017-06-20.45,ASASSN-transients
V549 Vel,2017-10-09,https://arxiv.org/pdf/2010.10753.pdf
V1660 Sco,2017-10-14,Atel10850
V357 Mus,2018-01-17,https://arxiv.org/pdf/2010.15930.pdf
V1661 Sco,2018-01-17,SMARTS
FM Cir,2018-03-20,AAVSO
V1662 Sco,2018-02-11,AAVSO
V3664 Oph,2018-02-13,AAVSO
V1663 Sco,2018-03-01,AAVSO
V3665 Oph,2018-03-11,AAVSO
V906 Car,2018-04-14,https://arxiv.org/pdf/2004.05562.pdf
V435 CMa,2018-04-07,AAVSO
V5857 Sgr,2018-04-10,AAVSO
V392 Per,2018-04-29,AAVSO
V408 Lup,2018-06-09,SMARTS
V613 Sct,2018-07-01,AAVSO
V3666 Oph,2018-08-11,AAVSO
V556 Nor,2018-10-14,AAVSO
V1706 Sco,2019-05-14,ASASSN-transients
V2860 Ori,2019-08-08,AAVSO
V569 Vul,2019-08-18,Atel13068
V3890 Sgr,2019-08-28,https://arxiv.org/pdf/2010.01001.pdf
V1707 Sco,2019-09-15,AAVSO
V659 Sct,2019-19-30,AAVSO
V6566 Sgr,2020-01-30,AAVSO
V670 Ser,2020-02-22,AAVSO
